Código da Situação Tributária;Descrição da Situação Tributária;Exige Tributação;Redução BC CST;Redução de Alíquota;Transferência de Crédito;Diferimento;Monofásica;Crédito Presumido IBS Zona Franca de Manaus;Ajuste de Competência;Código da Classificação Tributária;Descrição do Código da Classificação Tributária;Percentual Redução IBS;Percentual Redução CBS;Tributação Regular;Crédito Presumido;Estorno de Crédito;Tributação Monofásica Normal;Tributação Monofásica sujeita a retenção;Tributação Monofásica retida anteriormente;Tributação Monofásica de Combustível com diferimento;Tipo de Alíquota;NFe;NFCe;CTe;CTe OS;BPe;NF3e;NFCom;NFSE;BPe TM;BPe TA;NFAg;NFSVIA;NFABI;NFGas;DERE;DIR;DUIMP;Número do Anexo;Url da Legislação;Tipo de Receita Bruta do Simples Nacional;Regime de Contribuição Social sobre Bens e Serviços;Imposto sobre Bens e Serviços
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200023;Operação realizada por indústria incentivada que destine bem material intermediário para outra indústria incentivada na Zona Franca de Manaus, desde que a entrega ou disponibilização dos bens ocorra dentro da referida área, observado o art. 448 da Lei Complementar nº 214, de 2025.;100;100;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art448;1 - Receita Bruta Interna;Art. 530. Fica reduzida a zero a alíquota da CBS incidente sobre operação realizada por indústria incentivada que destine bem material intermediário para outra indústria incentivada na Zona Franca de Manaus, desde que a entrega ou disponibilização dos bens ocorra dentro da referida área. ;Art. 519. Ficam reduzidas a zero as alíquotas do IBS incidentes sobre operação realizada por indústria incentivada que destine bem material intermediário para outra indústria incentivada na Zona Franca de Manaus, desde que a entrega ou disponibilização dos bens ocorra dentro da referida área.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200024;Operação originada fora das Áreas de Livre Comércio que destine bem material industrializado de origem nacional a contribuinte estabelecido nas Áreas de Livre Comércio que seja habilitado nos termos do art. 456 da Lei Complementar nº 214, de 2025, e sujeito ao regime regular do IBS e da CBS ou optante pelo regime do Simples Nacional de que trata o art. 12 da Lei Complementar nº 123, de 2006, observado o art. 463 da Lei Complementar nº 214, de 2025.;100;100;Sim;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art463;1 - Receita Bruta Interna;Art. 537. Fica reduzida a zero a alíquota da CBS incidente sobre operação originada fora da área de livre comércio, inclusive a procedente de outra área de livre comércio ou da Zona Franca de Manaus, que destine bem material industrializado de origem nacional a contribuinte estabelecido na área de livre comércio que seja:;Art. 527. Ficam reduzidas a zero as alíquotas do IBS incidentes sobre operação originada fora da Área de Livre Comércio, inclusive a procedente de outra Área de Livre Comércio ou da Zona Franca de Manaus, que destine bem material industrializado de origem nacional a contribuinte estabelecido na Área de Livre Comércio que seja:
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200025;Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni), instituído pela Lei nº 11.096, de 13 de janeiro de 2005, observado o art. 308 da Lei Complementar nº 214, de 2025.;60;100;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;93081;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art308;1 - Receita Bruta Interna;Art. 517. Fica reduzida a zero a alíquota da CBS incidente sobre o fornecimento de serviços de educação de ensino superior por instituição privada de ensino, com ou sem fins lucrativos, durante o período de adesão e vinculação ao Programa Universidade para Todos – Prouni, instituído pela Lei nº 11.096, de 13 de janeiro de 2005.;
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200026;Locação de imóveis localizados nas zonas reabilitadas, pelo prazo de 5 (cinco) anos, contado da data de expedição do habite-se, e relacionados a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, a serem delimitadas por lei municipal ou distrital, observado o art. 158 da Lei Complementar nº 214, de 2025.;80;80;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;91581;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art158;9 - Fornecimento Incompatível com SN;"Art. 234. Observado o disposto neste Capítulo, ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS sobre operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, delimitadas por lei municipal ou distrital.
§ 3º Na hipótese de locação de imóveis prevista no art. 236, caput, inciso VI, a redução de alíquotas de que trata o caput deste artigo será de 80% (oitenta por cento).";"Art. 234. Observado o disposto neste Capítulo, ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS sobre operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, delimitadas por lei municipal ou distrital. 
§ 3º Na hipótese de locação de imóveis prevista no inciso VI do caput do art. 236, a redução de alíquotas de que trata o caput deste artigo será de 80% (oitenta por cento)."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200027;Operações de locação, cessão onerosa e arrendamento de bens imóveis, observado o art. 261 da Lei Complementar nº 214, de 2025.;70;70;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;92611;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art261;1 - Receita Bruta Interna;"Art. 379. 
Parágrafo único. A alíquota da CBS relativa às operações de locação, cessão onerosa e arrendamento de bens imóveis fica reduzida em 70% (setenta por cento).";"Art. 379. 
Parágrafo único. A alíquota do IBS relativa às operações de locação, cessão onerosa e arrendamento de bens imóveis fica reduzida em 70% (setenta por cento)."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200028;Fornecimento dos serviços de educação relacionados no Anexo II da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da Nomenclatura Brasileira de Serviços, Intangíveis e Outras Operações que Produzam Variações no Patrimônio (NBS), observado o art. 129 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;2;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art129;1 - Receita Bruta Interna;Art. 204. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos serviços de educação relacionados no Anexo II da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NBS.;Art. 204. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos serviços de educação relacionados no Anexo II da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS. 
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200029;Fornecimento dos serviços de saúde humana relacionados no Anexo III da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS, observado o art. 130 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;3;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art130;1 - Receita Bruta Interna;Art. 205. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos serviços de saúde relacionados no Anexo III da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NBS.;Art. 205. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos serviços de saúde relacionados no Anexo III da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS. 
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200030;Venda dos dispositivos médicos relacionados no Anexo IV da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 131 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;4;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art131;1 - Receita Bruta Interna;Art. 206. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos dispositivos médicos relacionados no Anexo IV da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH. ;Art. 206. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos dispositivos médicos relacionados no Anexo IV da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200031;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados no Anexo V da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 132 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;5;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art132;1 - Receita Bruta Interna;Art. 207. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados no Anexo V da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH.;Art. 207. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados no Anexo V da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH. 
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200032;Fornecimento dos medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação, ressalvados os medicamentos sujeitos à alíquota zero de que trata o art. 146 da Lei Complementar nº 214, de 2025, observado o art. 133 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art133;1 - Receita Bruta Interna;Art. 208. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação, ressalvados os medicamentos sujeitos à alíquota zero de que trata o art. 222.;Art. 208. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação, ressalvados os medicamentos sujeitos à alíquota zero de que trata o art. 222.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200033;Fornecimento das composições para nutrição enteral e parenteral, composições especiais e fórmulas nutricionais destinadas às pessoas com erros inatos do metabolismo relacionadas no Anexo VI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 133 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;6;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art133;1 - Receita Bruta Interna;"Art. 208.
§ 1º A redução de alíquotas prevista no caput aplica-se também às operações de fornecimento das composições para nutrição enteral e parenteral, composições especiais e fórmulas nutricionais destinadas às pessoas com erros inatos do metabolismo relacionadas no Anexo VI da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH.";"Art. 208.
§ 1º A redução de alíquotas prevista no caput deste artigo aplica-se também às operações de fornecimento das composições para nutrição enteral e parenteral, composições especiais e fórmulas nutricionais destinadas às pessoas com erros inatos do metabolismo relacionadas no Anexo VI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200034;Fornecimento dos alimentos destinados ao consumo humano relacionados no Anexo VII da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 135 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;7;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art135;1 - Receita Bruta Interna;Art. 210. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos alimentos destinados ao consumo humano relacionados no Anexo VII da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH.;Art. 210. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos alimentos destinados ao consumo humano relacionados no Anexo VII da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200035;Fornecimento dos produtos de higiene pessoal e limpeza relacionados no Anexo VIII da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 136 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;8;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art136;1 - Receita Bruta Interna;Art. 211. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos produtos de higiene pessoal e limpeza relacionados no Anexo VIII da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH. ;Art. 211. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos produtos de higiene pessoal e limpeza relacionados no Anexo VIII da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200036;Fornecimento de produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais in natura, observado o art. 137 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art137;1 - Receita Bruta Interna;Art. 212. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento de produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais, quando in natura.;Art. 212. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento de produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais, quando in natura. 
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200037;Fornecimento de serviços ambientais de conservação ou recuperação da vegetação nativa, mesmo que fornecidos sob a forma de manejo sustentável de sistemas agrícolas, agroflorestais e agrossilvopastoris, em conformidade com as definições e requisitos da legislação específica, observado o art. 137 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art137;1 - Receita Bruta Interna;"Art. 212.
§ 3º Para fins do disposto no caput, considera-se fornecimento de produto florestal inclusive o fornecimento dos serviços ambientais de conservação ou recuperação da vegetação nativa, mesmo que fornecidos sob a forma de manejo sustentável de sistemas agrícolas, agroflorestais e agrossilvopastoris, em conformidade com as definições e requisitos da legislação específica.";"Art. 212.
§ 3º Para fins do disposto no caput deste artigo, considera-se fornecimento de produto florestal inclusive o fornecimento dos serviços ambientais de conservação ou recuperação da vegetação nativa, mesmo que fornecidos sob a forma de manejo sustentável de sistemas agrícolas, agroflorestais e agrossilvopastoris, em conformidade com as definições e requisitos da legislação específica."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200038;Fornecimento dos insumos agropecuários e aquícolas relacionados no Anexo IX da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH e da NBS, observado o art. 138 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;9;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art138;1 - Receita Bruta Interna;Art. 213. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos insumos agropecuários e aquícolas relacionados no Anexo IX da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH e da NBS.;Art. 213. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos insumos agropecuários e aquícolas relacionados no Anexo IX da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH e da NBS.
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200039;Fornecimento dos bens e serviços listados no Anexo X da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH e NBS, nos casos relacionados com produções nacionais artísticas, culturais, de eventos, jornalísticas e audiovisuais, observado o art. 139 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;10;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art139;1 - Receita Bruta Interna;Art. 215. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos bens e serviços listados no Anexo X da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NCM/SH e NBS, nos casos relacionados com as seguintes produções nacionais artísticas, culturais, de eventos, jornalísticas e audiovisuais:;Art. 215. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos bens e serviços listados no Anexo X da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH e NBS, nos casos relacionados com as seguintes produções nacionais artísticas, culturais, de eventos, jornalísticas e audiovisuais:
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200040;Fornec dos seguintes serv de comunic instit à admin púb direta, autarq e fund púb: serviços direcionados ao planej, criação, programação e manutenção de páginas eletrônicas da admin pública, ao monitor e gestão de suas redes sociais e à otimização de páginas e canais digitais para mecanismos de buscas e produção de mensagens, infográficos, painéis interativos e conteúdo institucional, serviços de relações com a imprensa, que reúnem estrat org para promover e reforçar a comunicação dos órgãos e das entidades contratantes com seus públicos de interesse, por meio da interação com prof da imprensa, e serviços de relações públicas, que compreendem o esforço de comunic planej, coeso e contínuo que tem por obj estab adequada percepção da atuação e dos obj instituc, a partir do estímulo à compreensão mútua e da manut de padrões de relac e fluxos de inf entre os órgãos e as entidades contrat e seus públicos de interesse, no País e no exterior, obs o art. 140 da Lei Compl nº 214, de 2025;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art140;1 - Receita Bruta Interna;Art. 216. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre o fornecimento dos seguintes serviços de comunicação institucional à administração pública direta, autarquias e fundações públicas:;Art. 216. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre o fornecimento dos seguintes serviços de comunicação institucional à administração pública direta, autarquias e fundações públicas: 
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200041;Operações relacionadas às seguintes atividades desportivas: fornecimento de serviço de educação desportiva, classificado no código 1.2205.12.00 da NBS, e gestão e exploração do desporto por associações e clubes esportivos filiados ao órgão estadual ou federal responsável pela coordenação dos desportos, inclusive por meio de venda de ingressos para eventos desportivos, fornecimento oneroso ou não de bens e serviços, inclusive ingressos, por meio de programas de sócio-torcedor, cessão dos direitos desportivos dos atletas e transferência de atletas para outra entidade desportiva ou seu retorno à atividade em outra entidade desportiva, observado o art. 141 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;91411;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art141;1 - Receita Bruta Interna;"Art. 217. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre as seguintes operações relacionadas a atividades desportivas: 
I - fornecimento de serviço de educação desportiva, classificado no código 1.2205.12.00 da NBS;";"Art. 217. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre as seguintes operações relacionadas a atividades desportivas: 
I - fornecimento de serviço de educação desportiva, classificado no código 1.2205.12.00 da NBS;"
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200042;Operações relacionadas às seguintes atividades desportivas: gestão e exploração do desporto por associações e clubes esportivos filiados ao órgão estadual ou federal responsável pela coordenação dos desportos, observado o art. 141 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art141;1 - Receita Bruta Interna;"Art. 217. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS incidentes sobre as seguintes operações relacionadas a atividades desportivas:
II - gestão e exploração do desporto por associações e clubes esportivos filiados ao órgão estadual ou federal responsável pela coordenação dos desportos, inclusive por meio de venda de ingressos para eventos desportivos, fornecimento oneroso ou não de bens e serviços, inclusive ingressos, por meio de programas de sócio-torcedor, cessão dos direitos desportivos dos atletas e transferência de atletas para outra entidade desportiva ou seu retorno à atividade em outra entidade desportiva.";"Art. 217. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS incidentes sobre as seguintes operações relacionadas a atividades desportivas:
II - gestão e exploração do desporto por associações e clubes esportivos filiados ao órgão estadual ou federal responsável pela coordenação dos desportos, inclusive por meio de venda de ingressos para eventos desportivos, fornecimento oneroso ou não de bens e serviços, inclusive ingressos, por meio de programas de sócio-torcedor, cessão dos direitos desportivos dos atletas e transferência de atletas para outra entidade desportiva ou seu retorno à atividade em outra entidade desportiva."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200043;Fornecimento à administração pública direta, autarquias e fundações púbicas dos serviços e dos bens relativos à soberania e à segurança nacional, à segurança da informação e à segurança cibernética relacionados no Anexo XI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS e da NCM/SH, observado o art. 142 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;11;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art142;1 - Receita Bruta Interna;"Art. 218. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS sobre: 
I - fornecimento à administração pública direta, autarquias e fundações públicas dos serviços e dos bens relativos à soberania e à segurança nacional, à segurança da informação e à segurança cibernética relacionados no Anexo XI da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NBS e da NCM/SH;";"Art. 218. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS sobre: 
I - fornecimento à administração pública direta, autarquias e fundações públicas dos serviços e dos bens relativos à soberania e à segurança nacional, à segurança da informação e à segurança cibernética relacionados no Anexo XI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS e da NCM/SH;"
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro com o mínimo de 20% (vinte por cento) do seu capital social, relacionados no Anexo XI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS e da NCM/SH, observado o art. 142 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;11;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art142;1 - Receita Bruta Interna;"Art. 218. Ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS sobre: 
II - fornecimento de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro com o mínimo de 20% (vinte por cento) do seu capital social, relacionados no Anexo XI da Lei Complementar nº 214, de 16 de janeiro de 2025, com a especificação das respectivas classificações da NBS.";"Art. 218. Ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS sobre:
II - fornecimento de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro com o mínimo de 20% (vinte por cento) do seu capital social, relacionados no Anexo XI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NBS."
200;Alíquota reduzida;Sim;Não;Sim;Não;Não;Não;Não;Não;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, a serem delimitadas por lei municipal ou distrital, observado o art. 158 da Lei Complementar nº 214, de 2025.;60;60;Não;Não;Não;Não;Não;Não;Não;2 - Padrão;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art158;1 - Receita Bruta Interna;Art. 234. Observado o disposto neste Capítulo, ficam reduzidas em 60% (sessenta por cento) as alíquotas da CBS sobre operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, delimitadas por lei municipal ou distrital.;Art. 234. Observado o disposto neste Capítulo, ficam reduzidas em 60% (sessenta por cento) as alíquotas do IBS sobre operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística dos Municípios ou do Distrito Federal, delimitadas por lei municipal ou distrital. 
