# Schema Discovery — [STATUS: COMPLIANCE] — Aprovado em 03/08/2026
fabrica;id_epico;titulo;horas_dev;horas_qa;horas_arch;horas_devops;horas_gestao;total_horas;prazo_entrega_meses;time_estimado_pessoas;valor_estimado;complexidade;stack_aderencia;premissas;comentarios
STEFANINI;EP-0001;Portal Administrativo Interno;490;147;24;24;147;832;2;6;149.760,00;Alta;Digital Ocean/Cloudflare/Keycloak IAM/Kong API Gateway/PostgreSQL 17/Redis/Prometheus/Loki/Jaeger/Grafana/Elastic Stack/Infra DOKS/DigitalOcean Spaces/React/Next.js/Java25/Spring Boot/Java Native/Maven;TIME: 1 TECHLEAD + 2 BACKEND + 1 FRONTEND + 1 QA + 1 DEVOPS/SRE/INFRA/CLOUD );3 (Dashboard, métricas, visão consolidada)
STEFANINI;EP-0002;Gestao de Clientes e Assinaturas;840;252;42;42;252;1428;2;6;257.040,00;Alta;Digital Ocean/Cloudflare/Keycloak IAM/Kong API Gateway/PostgreSQL 17/Redis/Prometheus/Loki/Jaeger/Grafana/Elastic Stack/Infra DOKS/DigitalOcean Spaces/React/Next.js/Java25/Spring Boot/Java Native/Maven;TIME: 1 TECHLEAD + 2 BACKEND + 1 FRONTEND + 1 QA + 1 DEVOPS/SRE/INFRA/CLOUD );5 (Tenants, planos, assinaturas, ativação, suspensão) 
STEFANINI;EP-0003;Governanca de Acessos e Permissoes (RBAC);690;207;34;34;207;1172;1;6;210.960,00;Alta;Digital Ocean/Cloudflare/Keycloak IAM/Kong API Gateway/PostgreSQL 17/Redis/Prometheus/Loki/Jaeger/Grafana/Elastic Stack/Infra DOKS/DigitalOcean Spaces/React/Next.js/Java25/Spring Boot/Java Native/Maven;TIME: 1 TECHLEAD + 2 BACKEND + 1 FRONTEND + 1 QA + 1 DEVOPS/SRE/INFRA/CLOUD );4 (RBAC, papéis, permissões, isolamento multi-tenant)
STEFANINI;EP-0004;Experiencia do Cliente e Autoatendimento;735;220;36;36;220;1247;2;6;224.460,00;Alta;Digital Ocean/Cloudflare/Keycloak IAM/Kong API Gateway/PostgreSQL 17/Redis/Prometheus/Loki/Jaeger/Grafana/Elastic Stack/Infra DOKS/DigitalOcean Spaces/React/Next.js/Java25/Spring Boot/Java Native/Maven;TIME: 1 TECHLEAD + 2 BACKEND + 1 FRONTEND + 1 QA + 1 DEVOPS/SRE/INFRA/CLOUD );6 (Portal, onboarding, App Switcher, Unidades de Negócio, Catálogo)
